Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/CHTPT_code_me/static/Car/Car14.wav,"[40.94487, 40.330616, 39.27986, 38.460255, 38.694115, 38.122093, 40.919273]","[19.15122867496901, 16.27016015949526, 21.159896251213336, 18.899177442238265, 15.508795966438594, 16.717447125397268, 17.351824827935722]","[57.95011337868481, 54.89342403628118, 55.96371882086168, 54.6031746031746, 53.043083900226755, 55.868480725623584, 55.24801741564298]","[(359, 2321.0435437578203), (27096, 27.051667014785476), (44229, 12.239040968083467), (85595, 8.317927578809837), (110121, 12.239040968083462), (127254, 27.051667014785476), (153991, 2321.0435437578203)]"
E:/CHTPT_code_me/static/Car/Car15.wav,"[41.251266, 38.99435, 37.97787, 41.318188, 39.07386, 39.5834, 37.97623]","[22.313763816342796, 18.91601966649649, 17.24185993163181, 18.352369597691688, 16.726593367223227, 17.982878503278783, 16.822466837973998]","[54.6031746031746, 53.043083900226755, 55.868480725623584, 55.38775510204081, 54.707482993197274, 55.93650793650794, 53.929534027885765]","[(354, 2471.335523297432), (27096, 26.161318563976383), (50867, 10.320477820052574), (71091, 8.528861515656823), (103483, 10.320477820052593), (127254, 26.161318563976405), (153996, 2471.335523297432)]"
E:/CHTPT_code_me/static/Car/Car2.wav,"[41.413258, 39.250725, 41.354744, 40.50524, 40.19536, 36.8472, 39.72593]","[22.383901617641367, 22.0069885632949, 18.945763275128446, 22.904279732721903, 23.68583195354967, 16.399746435317432, 19.18508458793873]","[56.21768707482993, 58.54421768707483, 57.21995464852608, 58.37641723356009, 53.678004535147394, 54.00453514739229, 56.037811641528016]","[(588, 2138.5297501146947), (27107, 25.556655576108785), (44317, 10.626614459557915), (71039, 7.664930326410688), (110033, 10.626614459557887), (127243, 25.55665557610877), (153762, 2138.5297501146947)]"
E:/CHTPT_code_me/static/Car/Car3.wav,"[41.268032, 39.206596, 37.320965, 39.715424, 39.047276, 38.926945, 36.617146]","[26.48217882257128, 22.115714501013002, 15.744552882166492, 19.993876621481917, 24.313734350116214, 21.913546717093727, 20.17416135959571]","[58.37641723356009, 53.678004535147394, 54.00453514739229, 57.98185941043084, 55.65079365079365, 56.25396825396825, 56.055952936298134]","[(612, 2054.3500942825235), (27121, 23.035924568587294), (50862, 11.756598218552968), (87697, 7.576812993935082), (103488, 11.75659821855296), (127229, 23.035924568587294), (153738, 2054.350094282524)]"
E:/CHTPT_code_me/static/Car/Car4.wav,"[41.05176, 39.43725, 38.992992, 36.758724, 39.689804, 38.975704, 40.157604]","[19.514922277330484, 23.2036256320065, 19.899764659238002, 20.987128302277554, 25.409611011855304, 21.682912200811273, 21.64321802778258]","[57.98185941043084, 55.65079365079365, 56.25396825396825, 52.539682539682545, 56.68934240362812, 58.33106575963719, 55.93544290675375]","[(633, 2140.480573763021), (27053, 23.41483349911153), (50861, 13.759802955986233), (67916, 8.034697719357201), (103489, 13.75980295598623), (127297, 23.41483349911152), (153717, 2140.480573763021)]"
E:/CHTPT_code_me/static/Car/Car5.wav,"[38.87502, 40.127365, 38.997562, 39.121655, 40.112423, 41.190536, 40.443504]","[24.64503884737835, 23.741437746710808, 25.73775630250263, 19.230303917789744, 17.037192089039657, 15.767370359528632, 18.419554674099864]","[52.539682539682545, 56.68934240362812, 58.33106575963719, 57.46485260770975, 57.6734693877551, 57.147392290249435, 55.560306847042966]","[(352, 2364.1857507160566), (26993, 29.899342611777925), (50911, 11.931313791931403), (83800, 7.619308106381538), (103439, 11.931313791931402), (127357, 29.899342611777932), (153998, 2364.185750716056)]"
E:/CHTPT_code_me/static/Car/Car6.wav,"[41.56708, 40.190304, 41.283665, 40.503628, 39.033695, 37.315166, 37.552013]","[17.61691562484863, 18.755871301428193, 15.167653448103616, 19.226037664338946, 16.43073342829233, 21.827173567864868, 19.104733617444122]","[57.46485260770975, 57.6734693877551, 57.147392290249435, 55.750566893424036, 55.333333333333336, 49.678004535147394, 54.159539729435544]","[(627, 2245.8359915890596), (22067, 21.51192150064165), (48071, 11.615677611974286), (67541, 7.531639906737142), (106279, 11.6156776119743), (132283, 21.51192150064165), (153723, 2245.8359915890596)]"
E:/CHTPT_code_me/static/Car/Car7.wav,"[41.83864, 38.935196, 36.940292, 38.158794, 38.86799, 37.809624, 39.830746]","[20.31660643297919, 16.55603280911843, 21.719210685807326, 19.04700486920774, 16.891463788314944, 22.14605358562299, 21.79235194635112]","[55.750566893424036, 55.333333333333336, 49.678004535147394, 54.766439909297056, 56.013605442176875, 57.47392290249433, 53.93990048204012]","[(662, 2196.127342396924), (23678, 22.512374364910176), (50658, 10.135462039513783), (67485, 8.186755631499564), (103692, 10.13546203951377), (130672, 22.512374364910194), (153688, 2196.1273423969246)]"
E:/CHTPT_code_me/static/Car/Car8.wav,"[39.628742, 39.19288, 38.288544, 39.716583, 39.62529, 39.64786, 38.587193]","[25.697425159430782, 17.559963299538055, 21.063376637730038, 21.827880231042702, 20.60479253885292, 18.224587506570277, 19.346849944087722]","[54.766439909297056, 56.013605442176875, 57.47392290249433, 55.50566893424037, 57.33333333333333, 54.0, 55.47219198673094]","[(354, 2155.245769497463), (24261, 24.81117501319109), (50892, 9.954848718199568), (85597, 8.275212292522228), (103458, 9.954848718199573), (130089, 24.811175013191068), (153996, 2155.245769497463)]"
E:/CHTPT_code_me/static/Car/Car9.wav,"[41.489445, 38.900223, 40.053516, 39.018116, 37.40937, 39.85378, 40.15237]","[20.2867878560345, 20.973605241271713, 17.782649319131103, 18.42820206213565, 20.826985902108607, 22.461172252050822, 22.15746313643952]","[55.50566893424037, 57.33333333333333, 54.0, 58.616780045351476, 53.374149659863946, 55.09750566893424, 55.833074171979476]","[(655, 2195.5238963758206), (24101, 21.356956500698598), (50887, 10.790936200595807), (66953, 8.767877518089554), (103463, 10.790936200595818), (130249, 21.3569565006986), (153695, 2195.5238963758206)]"
E:/CHTPT_code_me/static/Helicopter/Helicopter1.wav,"[30.321789, 26.94855, 26.61657, 27.320932, 27.443668, 27.925148, 26.428484]","[16.139762080815988, 8.294767574746706, 9.585315161495513, 8.243036837250527, 9.556562054370131, 8.968657921511857, 14.251827774153623]","[58.766439909297056, 52.22222222222222, 51.414965986394556, 52.1859410430839, 50.625850340136054, 50.59863945578231, 54.713497123308976]","[(226, 7119.224692305075), (22240, 42.22180299006555), (64998, 69.09451497732594), (66338, 16.482787160175533), (89352, 69.09451497732594), (132110, 42.221802990065534), (154124, 7119.224692305075)]"
